,index,Formula,temperature(K),seebeck_coefficient(μV/K),electrical_conductivity(S/m),thermal_conductivity(W/mK),power_factor(W/mK2),ZT,reference,net_MLCP,rattlercount,Xs,CP,mechanism,rattler,CIF
0,4,Ag8SnSe6,330,-543.0,99.0,0.21,3e-05,0.05,https://doi.org/10.1021/acsami.1c17548 ,-65.78,2 Ag,0.65,-274,maybe layers?,False,
1,99,Cu12Sb4S13,322,96.0,14111.0,0.49,0.00013,0.08,https://doi.org/10.1021/acs.chemmater.6b04950,41.22,1 S,0.97,204,,False,
2,450,MgAgSb,300,172.0,49818.0,1.07,0.00148,0.42,https://doi.org/10.1021/cm5041826,-0.93,0.25 Ag,0.84,-93,,False,
3,535,SnSe,300,332.0,1174.0,1.4,0.00013,0.03,https://doi.org/10.1021/acs.chemmater.0c03657,-27.81,1 Se,0.27,-74,layers.,False,
4,728,TiS2,300,-251.0,58824.0,2.37,0.00371,0.02,10.1103/PhysRevB.64.241104,-64.72,1 Ti,0.89,72,layers.,False,
5,975,VFeSb,350,-180.0,129819.0,6.75,0.00419,0.22,https://doi.org/10.1021/acs.chemmater.0c01189,-25.6,1 Sb,0.98,75,,False,
6,990,LiCoO2,423,1052.0,0.0,7.59,0.0,0.0,https://doi.org/10.1021/acs.inorgchem.7b00476,61.3,"1 Li 1 Co (74, 182)",0.98,128,,False,
7,995,GeTe,298,27.0,741237.0,8.04,0.00054,0.02,https://doi.org/10.1021/acs.chemmater.1c00331,-2.31,0.33 Te,0.21,10,,False,
8,1000,CoGeTe,327,-176.0,5850.0,8.3,0.00018,0.01,https://doi.org/10.1021/acs.inorgchem.1c01538,-13.69,1 Te,0.21,-96,,False,
9,1002,CuFeS2,300,-362.0,5270.0,8.43,0.00069,0.02,10.1021/acs.jpcc.6b10308,96.17,1 Cu 1 Fe,0.84,215,lack.,False,
10,1014,Co9S8,300,-19.0,1269362.0,10.0,0.00047,0.01,https://doi.org/10.1021/acs.jpcc.0c11601,44.18,1 Co,1.0,136,lack.,False,
11,1019,CoS2,300,-40.0,667884.0,11.2,0.00133,0.03,https://doi.org/10.1021/acs.jpcc.0c11601,30.41,1 Co,0.96,133,lack.,False,
12,1025,CoSi,320,-79.0,555190.0,13.69,0.0035,0.08,https://doi.org/10.1016/j.jallcom.2004.09.036,-12.15,1 Co,0.06,-38,lack.,False,
13,22,Tl2GeTe3,323,201.0,2850.0,0.31,0.00012,0.12,https://doi.org/10.1063/1.2181427,-34.79,2 Tl,0.93,-75,rattlers. units.,True,
14,79,BaBiTe3,323,-140.0,9749.0,0.46,0.00019,0.13,https://doi.org/10.1021/acs.chemmater.7b04123,-21.52,0.5 Ba 0.5 Ba 0.5 Te 0.5 Te (0.98 0.95 0.85 0.88) (-33 -40 -76 -77),0.96,-36,,True,
15,125,Tl4SnTe3,323,126.0,28700.0,0.52,0.00046,0.27,https://doi.org/10.1063/1.2181427,-26.67,1 Sn 1 Te,0.98,-80,,True,
16,350,Sb2Si2Te6,373,140.0,30275.0,0.86,0.00059,0.26,https://doi.org/10.1021/acsami.1c23351,-145.21,2 Sb,0.98,-428,,True,
17,397,Bi2Te3,306,-115.0,45000.0,0.96,0.00059,0.19,https://doi.org/10.1021/acsami.1c00355,-14.73,1 Te 1 Te,0.96,-110,,True,
18,589,YbCd2Sb2,350,101.0,111511.0,1.62,0.00113,0.24,https://doi.org/10.1021/acs.chemmater.8b02155,-78.88,1 Yb,0.98,-475,,True,
19,1004,YbSi2,300,-53.0,747000.0,8.6,0.00207,0.07,10.1002/pssr.201700372,-25.84,1 Yb,0.97,-158,,True,
20,115,Rb2Bi8Se13,330,-268.0,1591.0,0.51,0.00011,0.07,https://doi.org/10.1021/acs.chemmater.0c00703,,,,,,,
21,126,AgBiSe2,300,-526.0,6.0,0.53,0.0,0.0,https://doi.org/10.1021/acs.inorgchem.9b00874,,,,,,,
22,146,BaTmCo4O7,368,130.0,108.0,0.56,0.0,0.0,https://doi.org/10.1063/1.3663526,,,,,,,
23,158,BaLuCo4O7,368,128.0,99.0,0.59,0.0,0.0,https://doi.org/10.1063/1.3663526,,,,,,,
24,177,BaDyCo4O7,368,143.0,77.0,0.61,0.0,0.0,https://doi.org/10.1063/1.3663526,,,,,,,
25,212,CsPr2Ag3Te5,298,-49.0,53.0,0.65,0.0,0.0,https://doi.org/10.1021/ic5007132,,,,,,,
26,221,CsSm2Ag3Te5,298,-90.0,84.0,0.66,0.0,0.0,https://doi.org/10.1021/ic5007132,,,,,,,
27,266,TlCr5Se8,323,226.0,6670.0,0.71,0.00034,0.16,dx.doi.org/10.1021/cm400365q,,,,,,,
28,296,Ca14MgBi11,326,56.0,19835.0,0.75,6e-05,0.03,https://doi.org/10.1021/acs.inorgchem.7b01548,,,,,,,
29,310,BiCuSeO,319,428.0,777.0,0.78,0.00014,0.06,https://doi.org/10.1021/acsaem.1c02720,,,,,,,
30,311,Ca11Sb10,327,20.0,825.0,0.78,0.0,0.0,https://doi.org/10.1021/acs.inorgchem.7b00617,,,,,,,
31,342,As2Te3,298,119.0,185.0,0.85,0.0,0.0,https://doi.org/10.1021/acs.inorgchem.6b02930,,,,,,,
32,343,Bi2Si2Te6,373,119.0,12037.0,0.85,0.00017,0.08,https://doi.org/10.1021/acsami.1c23351,,,,,,,
33,354,Ca5In2Sb6,422,480.0,974.0,0.87,0.00022,0.11,10.1039/c3dt50428j,,,,,,,
34,386,Cr2Ge2Te6,320,574.0,47.0,0.92,2e-05,0.01,https://doi.org/10.1021/acs.chemmater.7b02346,,,,,,,
